"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level","High_education_level","Low_education_level"
"123",123,"L",6695,2449,13844,5175,46.5,66.8,65.8,27.9,10.7,22.4,7.2,4.3,6.1,44.4,54.3,54.9,22.4,0.365795369678865,"Remain",39.6,39.9,36.4,40,16.3,40,16.3
"124",124,"L",10662,4997,15958,6409,50.1,84,81.6,29.9,7.5,9.7,3.3,3.1,4.3,46.3,31.5,47.7,17.4,0.468673794785219,"Remain",31.4,45.8,16.3,33.8,17.1,33.8,17.1
"125",125,"L",3661,1972,11441,3898,43.9,37.4,53.6,18,15.1,29.1,7.8,6.1,8.9,28.9,98.3,66.8,31.1,0.53865064190112,"Leave",42,31.4,81,27.2,20.9,27.2,20.9
"126",126,"NE",5527,3390,11882,4882,48.6,97.9,68.3,22.8,23.2,7.8,3.2,4.2,6.1,28,17.5,57.7,25.4,0.61335263253121,"Leave",34.2,44.6,2.4,19.2,25,19.2,25
"127",127,"L",7446,1761,16596,7119,38.9,66.7,32.1,9.8,37.3,27.7,14.5,4.9,6.7,54.7,67.1,54.3,21.8,0.236502820306205,"Remain",57.3,23.5,32.4,49.9,12.8,49.9,12.8
"128",128,"WM",6859,5159,13301,5725,49.4,95.7,59.4,21.8,29.4,9.8,2.7,7.2,10.9,21.1,38.2,70.7,38.7,0.75215045925062,"Leave",32.5,45.2,4.8,12.8,40.1,12.8,40.1
"129",129,"L",4358,2223,12711,3961,42.1,24.1,48.1,20.6,13.7,34.8,10.9,4.7,6.6,27.5,80.4,75,33.7,0.510096374483708,"Leave",49.6,31.2,119.5,33.5,16.3,33.5,16.3
"130",130,"EE",3596,1634,7816,3266,46.3,86.7,72.8,27.1,7.2,18.9,6.5,3.6,4.7,41.8,20.6,45,15.2,0.454393770856507,"Remain",38.6,38.7,15.6,34.3,15.1,34.3,15.1
"131",131,"NW",1616,682,3988,1782,51.5,97.8,53.7,34.1,23.2,19.8,3.7,1.9,2.5,32.2,0.4,53.8,16.1,0.422029702970297,"Remain",33.4,52.9,2.4,34.4,15.6,34.4,15.6
"132",132,"SE",2274,1318,6326,2064,42.5,84.3,71.6,22.1,6.7,20.6,3.1,2.6,3.2,48.6,16,45.2,14.2,0.579595426561126,"Leave",46.4,32.1,16.3,32.6,14.3,32.6,14.3
